id,name,kind,direction,status,json,comp,note
B111,Rustic,text-punct,JSON error,outstanding,"For each clay room you build, you get 2 food and 1 bonus point. (this does not apply to stone rooms and renovated wood rooms.)","For each clay room you build, you get 2 food and 1 bonus point. (This does not apply to stone rooms and renovated wood rooms).","Compendium capitalizes ""(This"" and places the period outside the paren (""rooms).""); JSON lowercases ""(this"" and puts the period inside (""rooms.)""). Only capitalization and punctuation differ."
B114,Childless,text-punct,JSON error,outstanding,"At the start of each round, if you have at least 3 rooms but only 2 people, you get 1 food and 1 crop of your choice (grain or vegetable)","At the start of each round, if you have at least 3 rooms but only 2 people, you get 1 food and 1 crop of your choice (grain or vegetable.)","Compendium closes the parenthetical with a period inside ""(grain or vegetable.)""; JSON has no period. Punctuation only; identical wording and game meaning."
B116,Shoreforester,text-punct,JSON error,outstanding,"When you play this card and each time 1 reed is placed on an empty ""Reed Bank"" accumulation space in the preparation phase, you get 1 wood.","When you play this card, and each time 1 reed is placed on an empty ""Reed Bank"" accumulation space in the preparation phase, you get 1 wood.","Compendium has a comma after ""this card,"" (""...this card, and each time...""); JSON omits it. Punctuation-only, same meaning."
B117,Informant,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"When you play this card, you immediately get 1 wood. After each work phase, if you have more stone than clay in your supply, you get 1 wood.","After each work phase, if you have more stone than clay in your supply, you get 1 wood.","Compendium Informant (B117) has only the ""after each work phase"" effect; the leading ""When you play this card... you get 1 wood"" in raw_before belongs to the prior card (Shoreforester B116). JSON adds an on-play +1 wood the compendium omits."
B119,Lumberjack,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"You immediately get 1 wood. Additionally, place 1 wood on each of the next round spaces, up to the number of fences you built. At the start of these rounds, you get the wood.","Immediately place 1 wood on each of the next round spaces, up to the number of fences you built. At the start of these rounds, you get the wood.","JSON adds an extra immediate 1-wood gain (""You immediately get 1 wood. Additionally,"") not present in the compendium, which reads ""Immediately place 1 wood on each of the next round spaces...""."
B124,Trimmer,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"In each work phase, after you enclose at least one farmyard space, you get 2 stone. (Subdividing an existing pasture does not count.)","Each time after you enclose at least one farmyard space, you get 2 stone. (Subdividing an existing pasture does not count.)","Compendium ""Each time after you enclose"" fires per enclosure event; JSON ""In each work phase"" caps the reward to once per work phase — differing trigger frequency."
B127,Seducer,text-punct,JSON error,outstanding,"When you play this card in round 5 or later, you can immediately pay 1 stone, 1 grain, 1 vegetable, and 1 sheep to take a ""Family Growth Even without Room"" action.","When you play this card in Round 5 or later, you can immediately pay 1 stone, 1 grain, 1 vegetable, and 1 sheep to take a ""Family Growth Even without Room"" action.","Capitalization only: compendium ""Round 5"" vs JSON ""round 5""; rest identical after stripping glued next-card name ""Plumber""."
B128,Plumber,text-wording,wording only,outstanding,"Each time after you use the ""Major Improvement"" action space, you can take a ""renovation"" action, paying 2 clay or 2 stone less for the renovation.","Each time after you use the ""Major Improvement"" action space, you can take a ""Renovation"" action for 2 clay or 2 stone less.","Same meaning: compendium terse ""for 2 clay or 2 stone less"" vs JSON spelled-out ""paying 2 clay or 2 stone less for the renovation"" (plus ""Renovation"" vs ""renovation"" casing)."
B130,Full Peasant,text-wording,wording only,outstanding,"Each time after you use the ""Grain Utilization"" or ""Fencing"" action space while the other is unoccupied, you can pay 1 food to use the other space with the same person.","Each time after you use the ""Grain Utilization"" or ""Fencing"" action space while the other is unoccupied, you can pay 1 food to use that other space with the same person.","Compendium reads ""use that other space""; JSON reads ""use the other space"" — one-word difference, identical game meaning."
B139,Forest Scientist,text-punct,JSON error,outstanding,"In the returning home phase of each round, if there is no wood left on the game board, you get 1 food—from round 5 on, even 2 food.","In the returning home phase of each round, if there is no wood left on the game board, you get 1 food - from round 5 on, even 2 food.",Only the dash differs: JSON em-dash without spaces ('food—from') vs compendium spaced hyphen ('food - from'); all words identical.
B143,Clay Warden,text-wording,wording only,outstanding,"Each time another player uses the ""Hollow"" accumulation space, you get 1 clay. In a 3-/4-player game, you also get 1 additional clay/food.","Each time another player uses the ""Hollow"" accumulation space, you get 1 clay. In a 3-/4-player game, you also get 1 clay/food.","JSON adds clarifying word ""additional"" (""1 additional clay/food"" vs compendium ""1 clay/food""); identical game meaning."
B144,Collier,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"Each time after you use the ""Clay Pit"" or ""Hollow"" accumulation space, you get 1 wood. On ""Clay Pit"" you also get 1 additional reed.","Each time after you use the ""Clay Pit"" accumulation space, you get 1 reed and 1 wood. With 3 or more players, you get 1 additional wood on the ""Hollow"" accumulation space.","Compendium gives reed+wood only on Clay Pit and the Hollow wood bonus is 3+ player-only (confirmed by the ""3+ player card"" note); JSON grants 1 wood on Clay Pit OR Hollow in all games, so the 2-player Hollow benefit differs."
B149,Open Air Farmer,text-wording,wording only,outstanding,"When you play this card, you remove exactly 3 stables in your supply from play to build a pasture covering 2 farmyard spaces. You only need to pay a total of 2 wood for fences","When you play this card, if you have at least 3 stables in your supply, remove 3 stables in your supply from play and build a pasture covering 2 farmyard spaces. You only need to pay a total of 2 wood for the fences.","Same game meaning phrased differently: compendium spells out precondition ""if you have at least 3 stables... remove 3... and build"" while JSON uses ""remove exactly 3 stables... to build""; JSON also drops ""the"" before ""fences"". No mechanical change."
B151,Little Peasant,text-typo,JSON error,FIXED (partial),"You immediately get 1 stone. As long as you live in a wooden house with exactly 2 rooms, actions spaces—excluding Meeting Place—are not considered occupied for you.","You immediately get 1 stone. As long as you live in a wooden house with exactly 2 rooms, action spaces—excluding Meeting Place—are not considered occupied for you.","JSON typo ""actions spaces"" for compendium's correct ""action spaces""."
B153,Housemaster,text-wording,wording only,outstanding,"During scoring, total the point values of your major improvements. The smallest value counts double. If the total is at least 5/7/9/11, you get 1/2/3/4 bonus points.","During scoring, total the values of your major improvements. The smallest value counts double. If the total is at least 5/7/9/11, you get 1/2/3/4 bonus points.","JSON ""total the point values"" vs compendium ""total the values""; same meaning (major improvement values are point values)."
B154,Sheep Keeper,text-wording,wording only,outstanding,"You can only play this card if you have less than 7 sheep. Once this game, when you have 7 sheep on your farm, you immediately get 3 bonus points and 2 food.","You can only play this card if you have less than 7 sheep. Once this game, when you have 7 sheep in your farmyard, you immediately get 3 bonus points and 2 food.","Compendium prints ""in your farmyard""; JSON prints ""on your farm"" — same game meaning, different phrasing."
B155,Art Teacher,text-punct,JSON error,FIXED,"When you play this card, you immediately get 1 wood and 1 reed. Each time you pay an occupation cost, you can use food from the ""traveling Players"" accumulation space.","When you play this card, you immediately get 1 wood and 1 reed. Each time you pay an occupation cost, you can use food from the ""Traveling Players"" accumulation space.","Capitalization only: compendium '""Traveling Players""' vs JSON '""traveling Players""'; text otherwise identical."
B156,Storehouse Keeper,text-punct,JSON error,FIXED,"Each time you use the ""resource Market"" action space, you also get your choice of 1 clay or 1 grain.","Each time you use the ""Resource Market"" action space, you also get your choice of 1 clay or 1 grain.","Capitalization only: compendium prints ""Resource Market"" (capital R, matching the action-space name), JSON has lowercase ""resource Market""."
B157,Salter,text-typo,JSON error,FIXED (partial),"At any time, you can pay 1 sheep/wild boar/cattle from you farm. If you do, place 1 food on each of the next 3/5/7 round spaces. At the start of these rounds, you get the food.","At any time, you can pay 1 sheep/wild boar/cattle from your farmyard. If you do, place 1 food on each of the next 3/5/7 round spaces. At the start of these rounds, you get the food.","JSON has ungrammatical typo ""from you farm"" (missing 'r' in ""your""); compendium prints ""from your farmyard""."
B161,Weakling,text-wording,wording only,outstanding,"Each time it is your turn in the work phase, if there are one or more accumulation spaces with 5+ goods on them and you do not use any of them, you get 1 vegetable.","Each time it is your turn in the work phase, if there are 1 or more accumulation spaces with 5+ goods on them and you do not use any of them, you get 1 vegetable.","Compendium prints numeral ""1 or more""; JSON spells out ""one or more"" — same meaning, wording difference."
B165,Game Provider,text-wording,wording only,outstanding,"Immediately before each harvest, you can discard 1/3/4 grain from different fields to get 1/2/3 wild boars.","Immediately before each harvest, you can discard 1/3/4 grain from different fields to receive 1/2/3 wild boars.","Compendium prints ""to receive"" where JSON has ""to get""; identical game meaning, purely a wording variant."
B168,Pasture Master,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"Each time you renovate, you get 2 food and 1 additional animal of the respective type in each of your pastures with stable.","Each time you renovate, you get 1 additional animal of the respective type in each of your pastures with stable.","JSON adds ""2 food and"" which the printed compendium text does not grant; compendium only gives 1 additional animal per pasture-with-stable on renovate."
C056,Feed Fence,text-punct,JSON error,outstanding,"For each new stable you build, you get 1 food-for your last one, get 3 food. Each time you build stables, you can build exactly 1 stable for 1 clay instead of wood.","For each new stable you build, you get 1 food - for your last one, get 3 food. Each time you build stables, you can build exactly 1 stable for 1 clay instead of wood.",Formatting only (capitalization / arrow glyph / spacing).
C060,Small Potter's Oven,text-punct,JSON error,FIXED,"When you play this card, you immediately get 5 food. Each time before you get a ""Bake Bread"" action, you can build the ""Clay Oven"" or ""stone Oven"" major improvement.","When you play this card, you immediately get 5 food. Each time before you get a ""Bake Bread"" action, you can build the ""Clay Oven"" or ""Stone Oven"" major improvement.","JSON lowercases the proper name as ""stone Oven""; compendium prints ""Stone Oven"" — capitalization only."
C071,Slurry,name,DIFFERS,FIXED,Slurry Spreader,Slurry,"Compendium prints the card name as just ""Slurry"" (the word immediately before the C071 id; text matches), whereas JSON names it ""Slurry Spreader""."
C103,Green Grocer,text-punct,JSON error,outstanding,"At the start of each round, you can make exactly one of the following exchanges: 1 Cattle → 1 Vegetable; 1 Vegetable → 1 Cattle; 2 Sheep → 1 Vegetable; 1 Vegetable → 2 Sheep; 2 Food → 1 Grain; 1 Grain → 2 Food","At the start of each round, you can make exactly one of the following exchanges: 1 Cattle → 1 Vegetable; 1 Vegetable → 1 Cattle; 2 Sheep → 1 Vegetable; 1 Vegetable → 2 Sheep; 2 Food → 1 Grain; 1 Grain → 2 Food.","Compendium text ends with a trailing period after ""2 Food"" (before glued next-card ""Collector""); JSON omits it. Punctuation-only difference; footnote noise ""51 Uwe via Ponton on BGG 34"" stripped from front."
C104,Collector,text-typo,JSON error,FIXED,"This card is an action space for you only. When you use it for the 1st/2nd/3rd/4th time, you get 1 begging marker and 6/7/8/9 different good of your choice.","This card is an action space for you only. When you use it for the 1st/2nd/3rd/4th time, you get 1 begging marker and 6/7/8/9 different goods of your choice.","JSON has singular-noun typo ""different good""; compendium prints the correct plural ""different goods""."
C122,Bricklayer,text-typo,JSON error,FIXED,Each improvement and each renovation cost you 1 clay less. Each room costs you 2 clay less.,Each improvement and each renovation costs you 1 clay less. Each room costs you 2 clay less.,"Compendium reads ""renovation costs you 1 clay less""; JSON drops the 's' (""cost you""), a grammar typo for the singular ""each ... and each ..."" subject."
C133,Soldier,text-typo,COMPENDIUM error,outstanding,"During scoring, you get 1 bonus point for each stone-wood pair in your supply. You cannot score additional points for the resources scored with this card.","During scoring, you get 1 bonus point for each stone-wood pair in your supply. You cannot score additional points for the resources scored with his card.","COMPENDIUM typo: prints ""resources scored with his card""; JSON correctly reads ""this card""."
C137,Charcoal Burner,text-mechanical,DIFFERS (adjudicate),FIXED,"Each time any player (including you) plays or builds a cooking improvement, you get 1 wood and 1 food.","Each time any player (including you) plays or builds a baking improvement, you get 1 wood and 1 food.","Compendium prints ""baking improvement""; JSON says ""cooking improvement"" — distinct improvement categories, so the trigger set differs."
D001,Zigzag Harrow,text-typo,COMPENDIUM error,outstanding,"You can immediately plow 1 field such that it completes a ""zigzag"" pattern.","You can immediately plow 1 field such that it competes a ""zigzag"" pattern.","Compendium prints the typo ""competes""; JSON has the correct ""completes""."
D009,Game Trade,text-punct,JSON error,outstanding,"You immediately get 1 wild boar and 1 cattle. (effectively, you are exchanging 2 sheep for 1 wild boar and 1 cattle.)","You immediately get 1 wild boar and 1 cattle. (Effectively, you are exchanging 2 sheep for 1 wild boar and 1 cattle.)","Capitalization only: compendium ""(Effectively"" vs JSON ""(effectively""; verified in normalized PDF text."
D023,Pioneering Spirit,text-punct,JSON error,outstanding,"This card is an action space for you only. In rounds 3-5, it provides a ""renovation"" action. In rounds 6-8, it provides your choice of 1 vegetable, wild boar, or cattle.","This card is an action space for you only. In rounds 3-5, it provides a ""Renovation"" action. In rounds 6-8, it provides your choice of 1 vegetable, wild boar, or cattle.","Capitalization only: compendium capitalizes ""Renovation"" where JSON uses lowercase ""renovation""; all other words identical."
D025,Witches' Dance Floor,text-punct,COMPENDIUM error,outstanding,"This card is a field that you can sow in, an occupation, and the ""Fireplace"" major improvement with all of its effects. You can play it only via a ""Minor Improvement"" action.","This card is a field that you can sow in, an occupation, and the ""Fireplace"" major improvement with all of its effects. You can play it only via a ""minor Improvement"" action.","Compendium prints lowercase ""minor Improvement""; JSON capitalizes ""Minor Improvement"" — capitalization only, otherwise identical."
D031,Storeroom,text-punct,JSON error,outstanding,"During scoring, you get 1/2 bonus point for each pair of grain plus vegetable you have (considering all crops in your supply and fields), rounded up.","During scoring, you get 1⁄2 bonus point for each pair of grain plus vegetable you have (considering all crops in your supply and fields), rounded up.",Formatting only (capitalization / arrow glyph / spacing).
D042,Education Bonus,text-punct,JSON error,outstanding,"After you play your 1st/2nd/3rd/4th/5th/6th occupation this game, you immediately get 1 grain/clay/reed/stone/vegetable/field (not retroactively).","After you play your 1st/2nd/3rd/4th/5th/6th occupation this game, you immediately get 1 grain/clay/reed/stone/ vegetable/field (not retroactively).",Formatting only (capitalization / arrow glyph / spacing).
D047,Churchyard,text-wording,wording only,outstanding,"Place 2 food on each remaining round space. At the start of these rounds, you get the food. (*Occupations and Improvements)","Place 2 food on each remaining round space. At the start of these rounds, you get the food.","JSON appends inline clarifying parenthetical '(*Occupations and Improvements)'; compendium prints that clarification as a separate '● Cards must be Occupations and Improvements' bullet (stripped), so its main text omits it. Same game meaning."
D059,Earth Oven,text-wording,wording only,outstanding,"At any time: Vegetable → 3 Food; Sheep → 2 Food; Wild boar → 3 Food; Cattle → 3 Food ""Bake Bread"" action: Grain → 2 Food","At any time, you may convert goods to food as follows: Vegetable → 3 Food; Sheep → 2 Food; Wild boar → 3 Food; Cattle → 3 Food. Whenever you bake bread, you may convert: Grain → 2 Food.","Identical conversions/values (Veg→3, Sheep→2, Boar→3, Cattle→3, Grain→2 on bake); compendium spells them out in sentences, JSON uses a terse arrow-table."
D060,Large Pottery,text-wording,wording only,outstanding,At any time: Clay → 2 Food Scoring: 3/5/6/7 Clay → 1/2/3/4 bonus points,"At any time, you can use the Large Pottery to convert 1 Clay to 2 Food. At the end of the game, you may spend 3/5/6/7 Clay from your supply to earn 1/2/3/4 bonus points.","Same effect and values (1 Clay→2 Food; 3/5/6/7 Clay→1/2/3/4 pts); JSON is a terse shorthand table, compendium is the spelled-out sentence (""Scoring:""=""At the end of the game"")."
D064,Baking Course,text-wording,wording only,outstanding,"At the end of each round that does not end with a harvest, you can take a ""Bake Bread"" action. ""Bake Bread"" action: Grain → 2 Food","At the end of each round that does not end with a harvest, you can take a ""Bake Bread"" action. Whenever you bake bread, you may convert: Grain → 2 Food.","Both grant the same end-of-round bake action and the same 1 grain → 2 food baking rate; JSON uses the terse notation '""Bake Bread"" action: Grain → 2 Food' while the compendium spells it out as ""Whenever you bake bread, you may convert: Grain → 2 Food"" — same meaning, different phrasing."
D066,Potter Ceramics,text-mechanical,DIFFERS (adjudicate),FIXED,"Each time before you take a ""Bake Bread"" action, you can exchange 1 clay for 1 grain.","Each time before you take a ""Bake Bread"" action, you can exchange exactly 1 clay for 1 grain.","Compendium prints ""exchange exactly 1 clay""; JSON omits the quantity-constraining word ""exactly"", loosening the fixed one-clay limit."
D085,Reader,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"As soon as you have 7 occupations in front of you (including this one), this card provides room for one person.","As soon as you have 6 occupations in front of you (including this one), this card provides room for one person. In the draft variant, you need 7 occupations to play this.",Compendium's main effect triggers at 6 occupations (7 only in the draft-variant note it also carries); JSON uses 7 as the main threshold and omits the draft-variant clause entirely.
D110,Fish Farmer,text-typo,COMPENDIUM error,outstanding,"Each time there is 1/2/3+ food on the ""Fishing"" accumulation space, you get an additional 2 food on the ""Reed Bank""/ ""Clay Pit""/ ""Forest"" accumulation spaces.","Each time there is 1/2/3+ food on the ""Fishing"" accumulation space, you get an additional 2 food on the ""Reed Bank""/ ""Clay Pit""/ ""Grove"" accumulation spaces.","Compendium prints ""Grove"" (an error its own ERRATA bullet flags as needing to be ""Forest""); JSON uses the corrected ""Forest""."
D122,Clay Carrier,text-typo,JSON error,FIXED,"Wne you play this card, you immediately get 2 clay. At any time, but only once per round, you can buy 2 clay for 2 food.","When you play this card, you immediately get 2 clay. At any time, but only once per round, you can buy 2 clay for 2 food.","JSON has typo ""Wne you play""; compendium reads ""When you play""; rest of text identical after stripping the ● clarification bullet and glued next-card name ""Renovation Preparer""."
D127,Hardworking Man,text-typo,JSON error,FIXED,"This card is an action space for you only. If each other player has more rooms than you, it provides the ""Day Laborer"", ""Building Rooms"", and ""Major Improvement"" actions (all three).","This card is an action space for you only. If each other player has more rooms than you, it provides the ""Day Laborer"", ""Build Rooms"", and ""Major Improvement"" actions (all three).","JSON writes the action name as ""Building Rooms""; compendium prints ""Build Rooms"", the correct game action name."
D132,Hide Farmer,text-wording,wording only,outstanding,"During scoring, you can pay 1 food each for any number of unused farmyard spaces. If you do, you do not lose points for these spaces.","During scoring, you can pay 1 food each for any number of unused farmyard spaces. You do not lose points for these spaces.","JSON inserts the connective ""If you do,"" before the second sentence; compendium omits it. Same game meaning."
D144,Water Worker,text-typo,COMPENDIUM error,outstanding,"Each time after you use the ""Fishing"" accumulation space or one of the three orthogonally adjacent action spaces, you get 1 additional reed.","Each time after you use the ""Fishing"" accumulation space or one of the three orthogonally adjacent actions spaces, you get 1 additional reed.","Compendium prints the typo ""actions spaces""; JSON correctly reads ""action spaces"". Verified against compendium_normalized.txt (not extraction garble)."
D146,Porter,text-typo,JSON error,FIXED,"Each time you take at least 4 of the same building resource from an accumulation space, you get 1additional building resource of the accumulating type and 1 food.","Each time you take at least 4 of the same building resource from an accumulation space, you get 1 additional building resource of the accumulating type and 1 food.","JSON runs ""1additional"" together (dropped space); compendium correctly prints ""get 1 additional building resource""."
D158,Bean Counter,text-typo,JSON error,FIXED,"Each time you use an action space on round spaces 1 to 8, place 1 food on this card. Each time this cards has 3 food on it, move the food to your supply.","Each time you use an action space on round spaces 1 to 8, place 1 food on this card. Each time this card has 3 food on it, move the food to your supply.","JSON has typo ""this cards has""; compendium correctly reads ""this card has"". Rest of text identical."
D161,Cabbage Buyer,text-typo,JSON error,FIXED (partial),"Each time any player (including you) renovates and the builds no/ 1 minor/ 1 major improvement, you can buy 1 vegetable for 3/2/1 food.","Each time any player (including you) renovates and then builds no / 1 minor / 1 major improvement, you can buy 1 vegetable for 3/2/1 food.","JSON typo ""and the builds"" (dropped n); compendium correctly reads ""and then builds""."
E092,Field Doctor,text-mechanical,DIFFERS (adjudicate),JSON correct (kept),"Once this game, if you live in a house with exactly 2 rooms surrounded by 4 field tiles, you can use any ""Wish for Children"" action space even without room.","Once this game, if you live in a house with exactly 2 rooms surrounded by 4 field tiles, you can use any ""Family Growth"" action space even without room.","Printed compendium card names the ""Family Growth"" action space; JSON uses ""Wish for Children"" — a different named action space (the compendium's own errata bullet flags this: should be ""Wish for Children"")."
